tournament,stage,date,home_team,away_team,home_score,away_score,venue,winner
1970--mexico,Group 1,1970-05-31,Mexico,Soviet Union,0,0,"Estadio Azteca, Mexico City",Draw
1970--mexico,Group 1,1970-06-03,Belgium,El Salvador,3,0,"Estadio Azteca, Mexico City",Belgium
1970--mexico,Group 1,1970-06-06,Soviet Union,Belgium,4,1,"Estadio Azteca, Mexico City",Soviet Union
1970--mexico,Group 1,1970-06-07,Mexico,El Salvador,4,0,"Estadio Azteca, Mexico City",Mexico
1970--mexico,Group 1,1970-06-10,Soviet Union,El Salvador,2,0,"Estadio Azteca, Mexico City",Soviet Union
1970--mexico,Group 1,1970-06-11,Mexico,Belgium,1,0,"Estadio Azteca, Mexico City",Mexico
1970--mexico,Group 2,1970-06-02,Uruguay,Israel,2,0,"Estadio Cuauhtémoc, Puebla",Uruguay
1970--mexico,Group 2,1970-06-03,Italy,Sweden,1,0,"Estadio Luis Dosal, Toluca",Italy
1970--mexico,Group 2,1970-06-06,Uruguay,Italy,0,0,"Estadio Cuauhtémoc, Puebla",Draw
1970--mexico,Group 2,1970-06-07,Sweden,Israel,1,1,"Estadio Luis Dosal, Toluca",Draw
1970--mexico,Group 2,1970-06-10,Uruguay,Sweden,0,1,"Estadio Cuauhtémoc, Puebla",Sweden
1970--mexico,Group 2,1970-06-11,Israel,Italy,0,0,"Estadio Luis Dosal, Toluca",Draw
1970--mexico,Group 3,1970-06-02,Romania,England,0,1,"Estadio Jalisco, Guadalajara",England
1970--mexico,Group 3,1970-06-03,Czechoslovakia,Brazil,1,4,"Estadio Jalisco, Guadalajara",Brazil
1970--mexico,Group 3,1970-06-06,Romania,Czechoslovakia,2,1,"Estadio Jalisco, Guadalajara",Romania
1970--mexico,Group 3,1970-06-07,England,Brazil,0,1,"Estadio Jalisco, Guadalajara",Brazil
1970--mexico,Group 3,1970-06-10,Romania,Brazil,2,3,"Estadio Jalisco, Guadalajara",Brazil
1970--mexico,Group 3,1970-06-11,England,Czechoslovakia,1,0,"Estadio Jalisco, Guadalajara",England
1970--mexico,Group 4,1970-06-02,Peru,Bulgaria,3,2,"Estadio Nou Camp, León",Peru
1970--mexico,Group 4,1970-06-03,Morocco,West Germany,1,2,"Estadio Nou Camp, León",West Germany
1970--mexico,Group 4,1970-06-06,Peru,Morocco,3,0,"Estadio Nou Camp, León",Peru
1970--mexico,Group 4,1970-06-07,Bulgaria,West Germany,2,5,"Estadio Nou Camp, León",West Germany
1970--mexico,Group 4,1970-06-10,Peru,West Germany,1,3,"Estadio Nou Camp, León",West Germany
1970--mexico,Group 4,1970-06-11,Bulgaria,Morocco,1,1,"Estadio Nou Camp, León",Draw
1970--mexico,Quarter-finals,1970-06-14,Soviet Union,Uruguay,0,1,"Estadio Azteca, Mexico City",Uruguay
1970--mexico,Quarter-finals,1970-06-14,Italy,Mexico,4,1,"Estadio Luis Dosal, Toluca",Italy
1970--mexico,Quarter-finals,1970-06-14,Brazil,Peru,4,2,"Estadio Jalisco, Guadalajara",Brazil
1970--mexico,Quarter-finals,1970-06-14,West Germany,England,3,2,"Estadio Nou Camp, León",West Germany
1970--mexico,Semi-finals,1970-06-17,Uruguay,Brazil,1,3,"Estadio Jalisco, Guadalajara",Brazil
1970--mexico,Semi-finals,1970-06-17,Italy,West Germany,4,3,"Estadio Azteca, Mexico City",Italy
1970--mexico,Semi-finals,1970-06-20,Uruguay,West Germany,0,1,"Estadio Azteca, Mexico City",West Germany
1970--mexico,Final,1970-06-21,Brazil,Italy,4,1,"Estadio Azteca, Mexico City",Brazil
